iter	Passed	Remaining
474	722	798
475	723	796
476	725	795
477	726	793
478	728	792
479	730	790
480	731	789
481	733	787
482	734	786
483	736	785
484	737	783
485	739	781
486	740	780
487	742	779
488	744	777
489	745	775
490	746	774
491	748	772
492	749	771
493	751	769
494	752	768
495	754	766
496	755	765
497	757	763
498	759	762
499	760	760
500	762	759
501	763	757
502	765	756
503	766	754
504	768	752
505	769	751
506	770	749
507	772	747
508	773	746
509	775	744
510	776	743
511	778	741
512	779	740
513	781	738
514	782	736
515	783	735
516	785	733
517	786	731
518	788	730
519	789	728
520	791	727
521	792	725
522	794	724
523	795	722
524	797	721
525	798	719
526	800	718
527	801	716
528	802	714
529	804	713
530	806	712
531	807	710
532	809	708
533	810	707
534	811	705
535	813	704
536	815	702
537	816	701
538	817	699
539	818	697
540	820	696
541	821	694
542	823	692
543	824	691
544	826	689
545	827	688
546	828	686
547	830	684
548	831	683
549	832	681
550	833	679
551	835	677
552	836	676
553	838	674
554	839	673
555	840	670
556	841	669
557	842	667
558	844	665
559	845	664
560	846	662
561	847	660
562	848	658
563	850	657
564	851	655
565	853	654
566	854	652
567	855	650
568	856	649
569	858	647
570	859	645
571	861	644
572	862	642
573	863	640
574	865	639
575	866	637
576	867	636
577	869	634
578	870	632
579	871	631
580	872	629
581	874	627
582	875	626
583	876	624
584	878	622
585	879	621
586	880	619
587	881	617
588	883	616
589	884	614
590	885	612
591	886	611
592	888	609
593	889	607
594	890	606
595	892	605
596	894	603
597	895	601
598	896	600
599	897	598
600	899	596
601	900	595
602	901	593
603	902	591
604	903	590
605	905	588
606	906	587
607	908	585
608	909	583
609	910	582
610	911	580
611	912	578
612	914	577
613	916	575
614	917	574
615	918	572
616	919	570
617	920	569
618	922	567
619	923	566
620	925	564
621	926	562
622	927	561
623	928	559
624	930	558
625	931	556
626	932	555
627	934	553
628	935	551
629	936	550
630	938	548
631	939	547
632	940	545
633	941	543
634	943	542
635	944	540
636	945	539
637	947	537
638	948	535
639	949	534
640	950	532
641	951	530
642	970	539
643	974	538
644	976	537
645	980	537
646	983	536
647	986	535
648	988	534
649	991	533
650	993	532
651	996	531
652	998	530
653	1001	529
654	1003	528
655	1005	527
656	1007	525
657	1009	524
658	1011	523
659	1013	522
660	1015	520
661	1017	519
662	1019	518
663	1021	516
664	1023	515
665	1025	514
666	1026	512
667	1028	511
668	1030	509
669	1031	508
670	1033	506
671	1035	505
672	1036	503
673	1037	501
674	1039	500
675	1040	498
676	1041	497
677	1043	495
678	1044	493
679	1045	492
680	1047	490
681	1049	489
682	1050	487
683	1051	485
684	1053	484
685	1054	482
686	1056	481
687	1057	479
688	1059	478
689	1060	476
690	1061	474
691	1062	472
692	1064	471
693	1065	469
694	1066	468
695	1067	466
696	1069	464
697	1070	463
698	1071	461
699	1073	459
700	1074	458
701	1075	456
702	1076	454
703	1078	453
704	1079	451
705	1080	450
706	1082	448
707	1082	446
708	1084	444
709	1085	443
710	1086	441
711	1087	440
712	1089	438
713	1091	437
714	1092	435
715	1093	433
716	1094	431
717	1095	430
718	1097	428
719	1098	427
720	1099	425
721	1100	423
722	1102	422
723	1103	420
724	1104	419
725	1106	417
726	1107	415
727	1108	414
728	1109	412
729	1110	410
730	1112	409
731	1113	407
732	1115	406
733	1116	404
734	1117	402
735	1119	401
736	1120	399
737	1122	398
738	1123	396
739	1124	395
740	1125	393
741	1126	391
742	1127	390
743	1129	388
744	1130	386
745	1131	385
746	1133	383
747	1134	382
748	1136	380
749	1137	379
750	1139	377
751	1140	376
752	1141	374
753	1143	373
754	1144	371
755	1145	369
756	1147	368
757	1148	366
758	1149	365
759	1151	363
760	1152	361
761	1153	360
762	1154	358
763	1156	357
764	1157	355
765	1158	354
766	1160	352
767	1161	350
768	1162	349
769	1163	347
770	1165	346
771	1166	344
772	1168	343
773	1169	341
774	1170	339
775	1171	338
776	1173	336
777	1174	335
778	1176	333
779	1177	332
780	1179	330
781	1180	329
782	1181	327
783	1183	326
784	1184	324
785	1185	322
786	1187	321
787	1188	319
788	1190	318
789	1191	316
790	1192	315
791	1193	313
792	1195	311
793	1196	310
794	1197	308
795	1199	307
796	1200	305
797	1201	304
798	1202	302
799	1204	301
800	1206	299
801	1207	298
802	1209	296
803	1210	295
804	1211	293
805	1212	291
806	1214	290
807	1215	288
808	1216	287
809	1217	285
810	1219	284
811	1220	282
812	1222	281
813	1223	279
814	1224	278
815	1225	276
816	1227	274
817	1228	273
818	1230	271
819	1231	270
820	1232	268
821	1233	267
822	1234	265
823	1236	264
824	1237	262
825	1239	261
826	1240	259
827	1241	257
828	1242	256
829	1244	254
830	1245	253
831	1246	251
832	1248	250
833	1249	248
834	1250	247
835	1252	245
836	1253	244
837	1255	242
838	1256	241
839	1257	239
840	1259	238
841	1260	236
842	1262	235
843	1263	233
844	1265	232
845	1266	230
846	1267	229
847	1269	227
848	1270	226
849	1272	224
850	1273	222
851	1274	221
852	1276	219
853	1277	218
854	1279	216
855	1280	215
856	1282	213
857	1283	212
858	1285	210
859	1286	209
860	1287	207
861	1288	206
862	1290	204
863	1291	203
864	1293	201
865	1294	200
866	1296	198
867	1297	197
868	1298	195
869	1299	194
870	1301	192
871	1302	191
872	1303	189
873	1305	188
874	1306	186
875	1307	185
876	1309	183
877	1310	182
878	1312	180
879	1313	179
880	1314	177
881	1316	176
882	1317	174
883	1319	173
884	1320	171
885	1322	170
886	1323	168
887	1325	167
888	1326	165
889	1328	164
890	1329	162
891	1331	161
892	1333	159
893	1334	158
894	1336	156
895	1337	155
896	1339	153
897	1340	152
898	1342	150
899	1343	149
900	1344	147
901	1346	146
902	1348	144
903	1349	143
904	1351	141
905	1360	141
906	1368	140
907	1370	138
908	1371	137
909	1375	136
910	1376	134
911	1378	133
912	1380	131
913	1382	130
914	1384	128
915	1385	127
916	1388	125
917	1390	124
918	1392	122
919	1394	121
920	1396	119
921	1399	118
922	1401	116
923	1403	115
924	1404	113
925	1406	112
926	1407	110
927	1412	109
928	1414	108
929	1417	106
930	1421	105
931	1424	103
932	1426	102
933	1428	100
934	1430	99
935	1433	98
936	1435	96
937	1437	95
938	1439	93
939	1442	92
940	1444	90
941	1446	89
942	1448	87
943	1451	86
944	1453	84
945	1455	83
946	1458	81
947	1460	80
948	1462	78
949	1465	77
950	1467	75
951	1469	74
952	1472	72
953	1474	71
954	1476	69
955	1479	68
956	1481	66
957	1483	65
958	1485	63
959	1488	62
960	1490	60
961	1493	58
962	1495	57
963	1497	55
964	1499	54
965	1502	52
966	1504	51
967	1506	49
968	1509	48
969	1512	46
970	1514	45
971	1517	43
972	1519	42
973	1522	40
974	1524	39
975	1526	37
976	1528	35
977	1530	34
978	1533	32
979	1535	31
980	1538	29
