iter	Logloss
0	0.6862164853
1	0.6805950385
2	0.6741721168
3	0.6682785908
4	0.6612403254
5	0.6544167093
6	0.6490975567
7	0.6431013738
8	0.6370348557
9	0.6311646979
10	0.6256937864
11	0.6196536663
12	0.6142674368
13	0.608956596
14	0.6032314652
15	0.5978775989
16	0.5928720773
17	0.5880454213
18	0.5828070536
19	0.5783737314
20	0.5734671815
21	0.569333052
22	0.5661483615
23	0.5617327289
24	0.5566967017
25	0.5519043667
26	0.5483256518
27	0.5446374854
28	0.540862282
29	0.5370612119
30	0.5330634441
31	0.5290341937
32	0.5248892305
33	0.5216164404
34	0.5180775571
35	0.514701312
36	0.5101270118
37	0.507318903
38	0.504352196
39	0.5006916845
40	0.4980133681
41	0.4949034568
42	0.4923654299
43	0.4897104867
44	0.4868814316
45	0.4838841936
46	0.4803673462
47	0.477681753
48	0.4748353558
49	0.4718908297
50	0.4693066953
51	0.46623976
52	0.4636619076
53	0.4603550484
54	0.4577978226
55	0.456577217
56	0.4536271407
57	0.4506930836
58	0.4483867447
59	0.4456167073
60	0.4439178811
61	0.4418960132
62	0.4400256226
63	0.4370503455
64	0.4351305335
65	0.4334530275
66	0.4315765464
67	0.4293828274
68	0.4272904429
69	0.4247635319
70	0.4229965916
71	0.4213419356
72	0.4196114325
73	0.4181818154
74	0.4167267382
75	0.4150534709
76	0.4131529465
77	0.4108475572
78	0.4091739281
79	0.4075301212
80	0.4059927802
81	0.4042654525
82	0.4023607921
83	0.401095011
84	0.3993102019
85	0.3980375817
86	0.3961679894
87	0.3945915226
88	0.3932617147
89	0.3915490121
90	0.3903346254
91	0.3889950318
92	0.3875603574
93	0.3859969382
94	0.3840418339
95	0.3826953813
96	0.3816498825
97	0.3804252552
98	0.3788270823
99	0.377436829
100	0.3759031284
101	0.3747623119
102	0.3733232444
103	0.3721104396
104	0.3705869898
105	0.3692127163
106	0.3679428932
107	0.3670410217
108	0.3657052507
109	0.3646639677
110	0.3633668786
111	0.362086941
112	0.3610702499
113	0.3598871599
114	0.3582595547
115	0.357001315
116	0.356056029
117	0.3552594953
118	0.3541433069
119	0.3530742968
120	0.3518050295
121	0.3511103833
122	0.3501932221
123	0.3494292439
124	0.3487106031
125	0.3477714623
126	0.347081672
127	0.3465365832
128	0.3456685794
129	0.3444138291
130	0.3440636295
131	0.3431088447
132	0.3421524177
133	0.3410286504
134	0.3400501119
135	0.339351635
136	0.3389582058
137	0.3387531692
138	0.3378159539
139	0.3368010089
140	0.3366098263
141	0.3358975954
142	0.3349023045
143	0.334058333
144	0.3329491584
145	0.332088805
146	0.3316655655
147	0.3310917053
148	0.3304521714
149	0.329781565
150	0.3289004428
151	0.3282666563
152	0.3279409462
153	0.3272077915
154	0.3264125584
155	0.3258428896
156	0.3250027945
157	0.3244586183
158	0.3235724796
159	0.3227064738
160	0.3221429928
161	0.3216519217
162	0.3210521378
163	0.3203047352
164	0.31967777
165	0.3190263321
166	0.3181742806
167	0.3173700996
168	0.3166720844
169	0.3161672582
170	0.3156381184
171	0.3153281671
172	0.31466874
173	0.3143089239
174	0.3140824612
175	0.3134169757
176	0.3130405629
177	0.3124646289
178	0.3118767506
179	0.3114127652
180	0.3108191882
181	0.3104161799
182	0.3101671489
183	0.309705195
184	0.3089694318
185	0.3081953219
186	0.3078716882
187	0.3072328306
188	0.3063308596
189	0.3058504276
190	0.305368798
191	0.3046607336
192	0.3044088769
193	0.3039329155
194	0.3035229751
195	0.3030884385
196	0.3025302181
197	0.3021416256
198	0.3020220804
199	0.3012699937
200	0.3008588531
201	0.3004400299
202	0.2997878892
203	0.2992972883
204	0.2990014455
205	0.2985356341
206	0.2982147635
207	0.2978019537
208	0.2972806144
209	0.2970092066
210	0.2966171164
211	0.2960900573
212	0.2957949719
213	0.2954535771
214	0.2954179768
215	0.2950723037
216	0.2943403243
217	0.2937792622
218	0.2935088167
219	0.2929300137
220	0.2924839416
221	0.2920461421
222	0.2915979826
223	0.2912485978
224	0.2909513446
225	0.2905445243
226	0.290062196
227	0.2897609576
228	0.2892859852
229	0.2889610968
230	0.2884645318
231	0.288103073
232	0.2877728611
233	0.2873588731
234	0.2868350595
235	0.2864698712
236	0.285955686
237	0.2856919513
238	0.2854484787
239	0.2850656421
240	0.284737185
241	0.2844799161
242	0.2840145608
243	0.2837755691
244	0.2836036358
245	0.283143955
246	0.2828635452
247	0.2826010758
248	0.2823133067
249	0.281961279
250	0.2816626101
251	0.281367563
252	0.2810012706
253	0.2805517457
254	0.2802754946
255	0.2800670024
256	0.279867359
257	0.2796814332
258	0.2793250354
259	0.2790275382
260	0.2786877848
261	0.278177903
262	0.2777370528
263	0.2774164412
264	0.2771963337
265	0.2768958089
266	0.2765074751
267	0.2763240453
268	0.2761123415
269	0.275758744
270	0.2754151896
271	0.2751169921
272	0.2747942525
273	0.2744741905
274	0.2741675988
275	0.2740037415
276	0.2735128375
277	0.2730952353
278	0.2728788671
279	0.2725113183
280	0.2721352524
281	0.271976528
282	0.2716904399
283	0.2715659301
284	0.2713662907
285	0.2710624356
286	0.2708195895
287	0.2706111102
288	0.2703480206
289	0.2702287933
290	0.2699298619
291	0.2697300355
292	0.2695411623
293	0.2691855847
294	0.2687318785
295	0.2684063382
296	0.2681145642
297	0.2678444784
298	0.2677421395
299	0.2674746659
300	0.2670295229
301	0.2667455278
302	0.2663853083
303	0.2660812066
304	0.2658628526
305	0.2657108508
306	0.2655720913
307	0.2653547078
308	0.265122172
309	0.2649102035
310	0.2647002086
311	0.2643817782
312	0.264185363
313	0.2640664848
314	0.2637976149
315	0.2636365686
316	0.2633682724
317	0.2632078415
318	0.2629506228
319	0.2628182962
320	0.2627195181
321	0.2625206087
322	0.2622606521
323	0.2619423328
324	0.2617064951
325	0.2614420093
326	0.2612557741
327	0.2610518289
328	0.2608191597
329	0.2605426879
330	0.260489348
331	0.2600948786
332	0.2599020405
333	0.2595796547
334	0.2593277578
335	0.2591196866
336	0.2588973235
337	0.2586032548
338	0.2584967468
339	0.2581640709
340	0.2580147521
341	0.257896928
342	0.2577026842
343	0.2573493428
344	0.2571132359
345	0.2568196717
346	0.256498549
347	0.2562917938
348	0.2561407791
349	0.2559906944
350	0.2557853379
351	0.2555281074
352	0.2551538175
353	0.2546821628
354	0.2544837851
355	0.2542602386
356	0.2539635873
357	0.253603562
358	0.2533269579
359	0.253105726
360	0.2528618898
361	0.252634652
362	0.2522891993
363	0.2520053967
364	0.2517206181
365	0.2515258112
366	0.2511926295
367	0.2511039938
368	0.2507412561
369	0.2506095056
370	0.2504135918
371	0.2501736125
372	0.2500874898
373	0.2498796876
374	0.2497728322
375	0.2494162387
376	0.2491595135
377	0.2490897125
378	0.2488259273
379	0.2486720083
380	0.2483958236
381	0.2481274027
382	0.2479213638
383	0.2477338598
384	0.2474152251
385	0.2471452645
386	0.246907808
387	0.2465488996
388	0.2463196331
389	0.246108163
390	0.2458923157
391	0.2456533784
392	0.245501792
393	0.24537389
394	0.2452608289
395	0.2451114869
396	0.2449577658
397	0.2447522645
398	0.2445119583
399	0.2443125767
400	0.2441232837
401	0.2439649363
402	0.2437813974
403	0.2435616219
404	0.2432911493
405	0.2429392287
406	0.2428045455
407	0.2425349083
408	0.2422709098
409	0.2420630938
410	0.2417646624
411	0.2415783949
412	0.2413840565
413	0.2410776129
414	0.2409459245
415	0.2408585733
416	0.2407010907
417	0.2405732
418	0.2404432633
419	0.2402812965
420	0.2401827716
421	0.2399073695
422	0.2398081563
423	0.2396101937
424	0.2395399945
425	0.2393481408
426	0.2390649983
427	0.238810669
428	0.2387094178
429	0.2383118374
430	0.2381228774
431	0.2379291268
432	0.2378415849
433	0.2376928688
434	0.237477683
435	0.2371479811
436	0.2369950696
437	0.2368529772
438	0.2367479746
439	0.2366266095
440	0.2364105171
441	0.23624394
442	0.2360422838
443	0.2356737975
444	0.2354222267
445	0.2351466901
446	0.2350096716
447	0.2348553103
448	0.2346695755
449	0.2345477273
450	0.2343869415
451	0.2342309131
452	0.2340306969
453	0.2339533762
454	0.2336063104
455	0.2333897047
456	0.2333078744
457	0.2332369211
458	0.2330636855
459	0.2328699566
460	0.23269307
461	0.2325086125
462	0.232441574
463	0.2322948112
464	0.2321878988
465	0.2319572934
466	0.2318314047
467	0.2316558003
468	0.2314858359
469	0.2313351745
470	0.2311215035
471	0.2307503608
472	0.230500746
473	0.2303350657
474	0.2302413595
475	0.2299611636
476	0.2298126768
477	0.2296740083
478	0.2295496945
479	0.2293337676
480	0.2290726206
481	0.2288236517
482	0.2286953299
483	0.228589917
484	0.2283630173
485	0.228300466
486	0.2281555349
487	0.2280035054
488	0.2278299678
489	0.2275198419
490	0.2272861457
491	0.2269755486
492	0.2268300901
493	0.2265538556
494	0.22645182
495	0.2263765098
496	0.2262537556
497	0.2261450968
498	0.2258679714
499	0.2257845419
500	0.2255470296
501	0.2253718466
502	0.2252432114
503	0.2251549212
504	0.2250346745
505	0.2248718608
506	0.224765285
507	0.2246745347
508	0.2245822855
509	0.2244492888
510	0.2243425104
511	0.2242082451
512	0.2240293641
513	0.2238911245
514	0.2237693631
515	0.2236242141
516	0.2234234885
517	0.2232566282
518	0.2231554891
519	0.223075165
520	0.2229183236
521	0.2227578356
522	0.2225906162
523	0.2223828681
524	0.222141056
525	0.2219179558
526	0.2217851844
527	0.2215786865
528	0.2214668589
529	0.2212785458
530	0.2211231679
531	0.2208620521
532	0.2207351056
533	0.2204997925
534	0.2204175065
535	0.2202229065
536	0.2201058633
537	0.2200645065
538	0.2198821156
539	0.2197769686
540	0.2194507434
541	0.2192468663
542	0.2191715705
543	0.2190062648
544	0.2187497557
545	0.2186846947
546	0.2185992194
547	0.2183141404
548	0.2180617226
549	0.2179225634
550	0.2177808715
551	0.2176317257
552	0.2173855775
553	0.2172043687
554	0.2170629392
555	0.2170466914
556	0.2169261131
557	0.2167501348
558	0.2164617561
559	0.2163382462
560	0.2162448634
561	0.2161701625
562	0.2160820552
563	0.2160466191
564	0.2159635984
565	0.2158681205
566	0.2156744619
567	0.2155481975
568	0.2154385123
569	0.215234094
570	0.2150562305
571	0.2149721615
572	0.2148744426
573	0.2148113664
574	0.2146749208
575	0.2145240678
576	0.2144807374
577	0.2144262647
578	0.2142660685
579	0.2141137136
580	0.2139557787
581	0.2138291021
582	0.2135404928
583	0.213278119
584	0.2131788319
585	0.2130555001
586	0.2129246621
587	0.2126413818
588	0.2125180597
589	0.2123374464
590	0.2122844125
591	0.2122081931
592	0.212072996
593	0.2119959298
594	0.2118951652
595	0.2117221305
596	0.2116793955
597	0.2115833176
598	0.2115307762
599	0.2113585615
600	0.2111403124
601	0.2108655755
602	0.2106540501
603	0.2104830716
604	0.2102377871
605	0.2099635037
606	0.2096757297
607	0.2095805257
608	0.2094640518
609	0.2093782191
610	0.2093251833
611	0.2093033581
612	0.2091482155
613	0.2090581652
614	0.2088976541
615	0.2087181963
616	0.2085604252
617	0.2085017757
618	0.2084302544
619	0.2082089549
620	0.2080378381
621	0.2078726834
622	0.2076257303
623	0.2075420136
624	0.2074533601
625	0.2072598084
626	0.2070761078
627	0.2070128137
628	0.2068316975
629	0.2066121654
630	0.2064927561
631	0.2063419962
632	0.2061491371
633	0.2060798082
634	0.2060186216
635	0.2059868158
636	0.205889458
637	0.205758423
638	0.2055688522
639	0.2054767747
640	0.2053334856
641	0.2051201144
642	0.2049916122
643	0.2048992227
644	0.2046956833
645	0.2045228635
646	0.2043471885
647	0.2042951737
648	0.204020309
649	0.2038317421
650	0.2036948802
651	0.2035861684
652	0.2033948298
653	0.2031786976
654	0.2030877813
655	0.2028413306
656	0.2025594149
657	0.2024818964
658	0.2023298687
659	0.2020606071
660	0.2019197694
661	0.2018457056
662	0.2016490717
663	0.2014885913
664	0.2013410948
665	0.2011049815
666	0.2009368751
667	0.200685612
668	0.2006124998
669	0.2004895064
670	0.2003950944
671	0.2002001112
672	0.1999527748
673	0.1997468148
674	0.1995708079
675	0.1994763656
676	0.1993592505
677	0.1991968113
678	0.1991536731
679	0.1989829634
680	0.1987797315
681	0.1986901519
682	0.1984324879
683	0.1982835528
684	0.1981854205
685	0.1980515715
686	0.1978993702
687	0.1978213346
688	0.1976467233
689	0.1975365922
690	0.1974739045
691	0.197298392
692	0.1970758539
693	0.1970009078
694	0.1968602324
695	0.1967603045
696	0.1966213808
697	0.1965490995
698	0.196445959
699	0.196331719
700	0.1962370994
701	0.196163928
702	0.1960513554
703	0.1959506952
704	0.1958288819
705	0.1955624926
706	0.1955058159
707	0.195500787
708	0.1953265466
709	0.1952336293
710	0.1950496837
711	0.1949649088
712	0.1948323663
713	0.1945655019
714	0.1944672347
715	0.1944613589
716	0.19435496
717	0.1942911388
718	0.1941729191
719	0.1940882855
720	0.1939714644
721	0.1939023269
722	0.1938520984
723	0.1935785814
724	0.1934260758
725	0.193386828
726	0.1932692609
727	0.1932167767
728	0.1931319952
729	0.1929460398
730	0.1928940717
731	0.192826117
732	0.1926912627
733	0.1926332126
734	0.1924945289
735	0.192348996
736	0.1921932207
737	0.1921340669
738	0.1919436177
739	0.1918749238
740	0.1917800999
741	0.1917683765
742	0.191542958
743	0.1915267485
744	0.1914531359
745	0.1912423868
746	0.1911124981
747	0.1910395124
748	0.1909127366
749	0.1908366254
750	0.1907214311
751	0.1905976944
752	0.1905000742
753	0.190260177
754	0.190072138
755	0.1899976757
756	0.1898192784
757	0.1897080885
758	0.1896500585
759	0.1895572845
760	0.189424365
761	0.1892891382
762	0.1891359741
763	0.1889261818
764	0.1888435651
765	0.1886664565
766	0.1885729817
767	0.1884854055
