sample_index,timestamp_s
4,1762880142.135801077
142,1762880142.998090029
268,1762880143.785328865
401,1762880144.616416931
541,1762880145.491269112
680,1762880146.359962225
815,1762880147.203570843
942,1762880147.997027159
1074,1762880148.821928024
1217,1762880149.722954035
1366,1762880150.646501064
1515,1762880151.577592134
1650,1762880152.421251059
1786,1762880153.270924091
1928,1762880154.158282995
2068,1762880155.033226013
2205,1762880155.889157057
2333,1762880156.689026117
2463,1762880157.501440048
2599,1762880158.386403084
2736,1762880159.207263947
2868,1762880160.032165051
2997,1762880160.838208914
3137,1762880161.713398933
