sample_index,timestamp_s
85,1762880166.976965904
209,1762880167.751951218
335,1762880168.539186001
464,1762880169.345370770
594,1762880170.157658100
721,1762880170.951171160
842,1762880171.707272053
968,1762880172.494587898
1105,1762880173.350805044
1249,1762880174.250553131
1387,1762880175.112920046
1532,1762880176.018774033
1676,1762880176.918658972
1817,1762880177.799940109
1950,1762880178.630917788
2089,1762880179.499429226
2228,1762880180.368038893
2369,1762880181.249127865
2509,1762880182.124027967
2650,1762880183.005253792
2795,1762880183.911034822
2939,1762880184.811187983
3070,1762880185.629580021
