sample_index,timestamp_s
88,1762879985.472143888
203,1762879986.190819025
316,1762879986.896970034
431,1762879987.615567207
545,1762879988.327869892
658,1762879989.034149170
770,1762879989.733959913
884,1762879990.446250916
1000,1762879991.171218872
1121,1762879991.927474022
1242,1762879992.683391094
1358,1762879993.408288956
1473,1762879994.126698971
1589,1762879994.851546764
1703,1762879995.582494974
1815,1762879996.263802052
1933,1762879997.001073837
2060,1762879997.794826031
2197,1762879998.650742054
2327,1762879999.463187933
2452,1762880000.255230904
2581,1762880001.050277948
2729,1762880001.975213051
2882,1762880002.931175947
3016,1762880003.768581152
3143,1762880004.577253819
3279,1762880005.411884069
3420,1762880006.293017149
3560,1762880007.167769194
3691,1762880007.986363888
3823,1762880008.811236143
3963,1762880009.686010122
4106,1762880010.579686880
4245,1762880011.448423862
4376,1762880012.266870022
4499,1762880013.035450935
4621,1762880013.797898054
4750,1762880014.603772879
4890,1762880015.478785992
5032,1762880016.366053820
5162,1762880017.178369045
5292,1762880017.990672827
5432,1762880018.865557909
5575,1762880019.759164810
