sample_index,timestamp_s
127,1764746493.333680153
193,1764746493.745828152
268,1764746494.214394808
344,1764746494.689116955
408,1764746495.089020014
495,1764746495.632694960
569,1764746496.095061064
645,1764746496.570017099
720,1764746497.054812908
867,1764746497.957084894
943,1764746498.452663898
996,1764746498.763273954
1092,1764746499.363028049
1167,1764746499.831796885
1241,1764746500.294163942
1315,1764746500.756649971
1391,1764746501.231390953
1456,1764746501.637588978
1539,1764746502.156508923
1613,1764746502.618580103
1686,1764746503.075750113
1761,1764746503.543834209
1832,1764746503.987092018
1890,1764746504.349494934
1980,1764746504.911846876
2051,1764746505.355576992
2194,1764746506.249036074
2267,1764746506.705601931
2338,1764746507.148885965
2410,1764746507.598766088
2484,1764746508.061082840
2556,1764746508.511039019
2611,1764746508.854825020
2650,1764746509.098423004
2702,1764746509.423351049
2746,1764746509.702746153
2804,1764746510.060738087
2903,1764746510.679389000
3000,1764746511.286162853
3074,1764746511.747812033
3178,1764746512.397710085
3220,1764746512.660444975
3295,1764746513.128901005
3360,1764746513.535007954
3444,1764746514.059891939
3518,1764746514.522307158
3593,1764746514.991058826
3641,1764746515.290843964
3742,1764746515.922819138
3807,1764746516.328119040
3891,1764746516.852960110
3965,1764746517.315486908
4041,1764746517.790327072
4191,1764746518.728255987
4267,1764746519.236078024
4343,1764746519.677491903
4420,1764746520.158625126
4570,1764746521.095843077
4646,1764746521.570746899
4722,1764746522.045644999
4797,1764746522.514244080
