sample_index,timestamp_s
111,1762880051.865033865
238,1762880052.658789158
368,1762880053.471581936
503,1762880054.318043947
637,1762880055.151929140
766,1762880055.958100080
894,1762880056.757836103
1031,1762880057.614562035
1171,1762880058.488741875
1309,1762880059.351047993
1452,1762880060.244693041
1594,1762880061.131974936
1722,1762880061.931954861
1852,1762880062.744207859
1982,1762880063.556806803
2110,1762880064.356402874
2233,1762880065.124984980
2363,1762880065.937477827
2499,1762880066.787209988
2628,1762880067.593218088
2753,1762880068.374249935
