sample_index,timestamp_s
116,1762879949.887712002
245,1762879950.693751097
368,1762879951.462403059
495,1762879952.256081820
619,1762879953.030783892
740,1762879953.786967039
859,1762879954.530533791
983,1762879955.305289030
1117,1762879956.142750978
1251,1762879956.980035067
1382,1762879957.798632860
1511,1762879958.604928970
1645,1762879959.442062140
1782,1762879960.298226833
1925,1762879961.191614866
2062,1762879962.067059994
2204,1762879962.935086012
2354,1762879963.872581005
2508,1762879964.834877968
2656,1762879965.759565115
2798,1762879966.678192139
2945,1762879967.565360785
3097,1762879968.515264988
3242,1762879969.421520948
3383,1762879970.302554846
3527,1762879971.202343941
3670,1762879972.095949173
3804,1762879972.933258057
3936,1762879973.758126020
4074,1762879974.620260000
4219,1762879975.526339054
4362,1762879976.419924021
4497,1762879977.263453960
4638,1762879978.144613981
4779,1762879979.025943041
4912,1762879979.856742859
