sample_index,timestamp_s
17,1764746372.646597147
103,1764746373.184145927
188,1764746373.715311050
274,1764746374.252528906
360,1764746374.790106058
445,1764746375.321197987
530,1764746375.852297068
613,1764746376.370932102
697,1764746376.895880938
780,1764746377.415374994
862,1764746377.926842213
943,1764746378.432957888
1024,1764746378.939323902
1106,1764746379.451476097
1188,1764746379.963956118
1273,1764746380.495107889
1361,1764746381.045049906
1448,1764746381.588556051
1533,1764746382.128552914
1617,1764746382.644658089
1703,1764746383.181879997
1790,1764746383.755301952
1877,1764746384.269191980
1965,1764746384.819142818
2051,1764746385.356595039
2136,1764746385.887517929
2221,1764746386.418831825
2306,1764746386.949922085
2391,1764746387.481884956
2475,1764746388.012847185
2560,1764746388.537120104
2641,1764746389.075996876
2723,1764746389.555620193
2807,1764746390.080427885
2892,1764746390.611675978
2979,1764746391.166913033
3065,1764746391.692602873
3149,1764746392.217525959
3232,1764746392.737094879
3315,1764746393.254809141
3400,1764746393.785932064
3486,1764746394.323247910
3569,1764746394.841966152
3653,1764746395.367038965
3735,1764746395.879185915
3818,1764746396.397856951
3898,1764746396.897661924
3977,1764746397.391420841
4056,1764746397.885040998
4135,1764746398.378966093
4213,1764746398.866192102
4290,1764746399.347254038
4367,1764746399.829639912
4444,1764746400.309560061
4521,1764746400.790735006
4598,1764746401.271739960
4674,1764746401.746755123
4751,1764746402.227944851
