sample_index,timestamp_s
42,1764751177.936172962
172,1764751178.748570204
303,1764751179.567290068
443,1764751180.443236113
581,1764751181.304334164
721,1764751182.179165840
856,1764751183.022794008
990,1764751183.860926867
1125,1764751184.703749180
1264,1764751185.572480917
1403,1764751186.440903902
1543,1764751187.315767050
1683,1764751188.190529108
1816,1764751189.024385929
1953,1764751189.877754211
2084,1764751190.696604013
2218,1764751191.533659935
2347,1764751192.339890957
2476,1764751193.145905972
2606,1764751193.958362818
2723,1764751194.689434767
2837,1764751195.406170845
2958,1764751196.157907963
3077,1764751196.901578903
3192,1764751197.620111942
3316,1764751198.395034790
3452,1764751199.244791985
3590,1764751200.107191086
3717,1764751200.900753975
3843,1764751201.705559015
3973,1764751202.500481129
4110,1764751203.390895128
4237,1764751204.150217056
4364,1764751204.951983213
4504,1764751205.818650961
4642,1764751206.681073904
4773,1764751207.499583960
