sample_index,timestamp_s
88,1762880073.142181158
215,1762880073.936660051
346,1762880074.754271030
484,1762880075.616602182
615,1762880076.435325861
752,1762880077.291343927
888,1762880078.141334057
1018,1762880078.953474045
1140,1762880079.715824842
1264,1762880080.490669012
1392,1762880081.293690205
1524,1762880082.115413904
1653,1762880082.921459913
1777,1762880083.696282148
1908,1762880084.514935017
2045,1762880085.371107101
2181,1762880086.220898151
2319,1762880087.083153963
2447,1762880087.883094072
