iter	Logloss
0	0.686022814
1	0.6805797853
2	0.6741043425
3	0.6676442191
4	0.6603037154
5	0.6532798582
6	0.6477004449
7	0.6411697167
8	0.6344445593
9	0.6286486187
10	0.623973181
11	0.6175571377
12	0.6117305913
13	0.6083662902
14	0.6029937564
15	0.5979374421
16	0.5937517806
17	0.5885315759
18	0.5836561243
19	0.5794075441
20	0.5743421146
21	0.5694982271
22	0.5638653399
23	0.558884711
24	0.5545345351
25	0.5493221459
26	0.5450556735
27	0.5407284985
28	0.5368477994
29	0.5332969391
30	0.5299899991
31	0.5261730502
32	0.5213523259
33	0.5169285148
34	0.5130426062
35	0.5090005382
36	0.504859386
37	0.5011101457
38	0.4975830334
39	0.4953963363
40	0.4915288757
41	0.489602117
42	0.4863998826
43	0.4832745054
44	0.480361672
45	0.4774181067
46	0.4744158029
47	0.4716898995
48	0.4690882999
49	0.4662528101
50	0.4633403277
51	0.4606843061
52	0.4580876056
53	0.4545594265
54	0.4520804664
55	0.4496603758
56	0.4467035826
57	0.4442964682
58	0.4424471492
59	0.440566183
60	0.4377966248
61	0.4357075949
62	0.4336144905
63	0.4309696634
64	0.4292619577
65	0.4273276344
66	0.4255449824
67	0.4229654188
68	0.4211781595
69	0.4194083727
70	0.4171324847
71	0.4154516243
72	0.4138170635
73	0.4117986727
74	0.4102946587
75	0.4087796502
76	0.4074691346
77	0.4056182168
78	0.4034026733
79	0.4020026995
80	0.4004210467
81	0.3990719227
82	0.3976580663
83	0.395938087
84	0.3947367141
85	0.3926721978
86	0.3909817236
87	0.3894962061
88	0.387735002
89	0.3859762344
90	0.3841894524
91	0.3824720477
92	0.3815610729
93	0.3802226096
94	0.3787258605
95	0.3771438118
96	0.3758485973
97	0.3744196759
98	0.3727662701
99	0.3713313921
100	0.3699339061
101	0.3685846986
102	0.3674541841
103	0.3662861703
104	0.36498029
105	0.3635581923
106	0.3621559101
107	0.3613752078
108	0.3598018763
109	0.3587945453
110	0.3576247205
111	0.3562889208
112	0.3549371765
113	0.3538275729
114	0.3522475063
115	0.3510406498
116	0.3501394205
117	0.3493843088
118	0.3483153167
119	0.3471757024
120	0.3459320385
121	0.3452522802
122	0.3445492073
123	0.343918624
124	0.3433389941
125	0.3422649128
126	0.3414116046
127	0.3407424042
128	0.3399752215
129	0.3388616687
130	0.3382081235
131	0.3372576768
132	0.3365995478
133	0.33585397
134	0.3353242456
135	0.3346013141
136	0.3342465028
137	0.3332163206
138	0.3327190786
139	0.3313595565
140	0.3306570555
141	0.32995351
142	0.3290861498
143	0.328368008
144	0.3277016657
145	0.3268898842
146	0.3260661786
147	0.3253846588
148	0.324657962
149	0.3237155036
150	0.3229892368
151	0.3224877016
152	0.3218988993
153	0.3209352183
154	0.3204033378
155	0.3198436305
156	0.3192930155
157	0.3187597375
158	0.3180501738
159	0.3176890961
160	0.3171915279
161	0.3162363327
162	0.3153126648
163	0.3147592359
164	0.3141280515
165	0.3136043418
166	0.3128028336
167	0.3123908901
168	0.3119444086
169	0.3114726731
170	0.3109393077
171	0.3102884293
172	0.3099842356
173	0.3094121319
174	0.3089905663
175	0.3082952969
176	0.3077437124
177	0.3073599742
178	0.3070003832
179	0.3065253378
180	0.3060237013
181	0.3055537652
182	0.3052900955
183	0.3050822851
184	0.3043115974
185	0.3036545421
186	0.3033334139
187	0.3029038381
188	0.3023340808
189	0.3018981459
190	0.3014801818
191	0.301231907
192	0.300747304
193	0.30032509
194	0.2997563164
195	0.2994902431
196	0.2988099839
197	0.2986301407
198	0.2982149159
199	0.2979080561
200	0.2974118575
201	0.297002764
202	0.2966272164
203	0.296304835
204	0.2960897975
205	0.2956836236
206	0.2953632297
207	0.2948133109
208	0.2944318611
209	0.2940691629
210	0.2936342935
211	0.2934435857
212	0.2932786484
213	0.2929615173
214	0.292530659
215	0.2923001047
216	0.291731223
217	0.2913278991
218	0.2909133008
219	0.2902329956
220	0.2898169211
221	0.2895635436
222	0.2890320361
223	0.2885261041
224	0.2882731826
225	0.287943314
226	0.2877220885
227	0.2871287216
228	0.2867941245
229	0.286478939
230	0.2861995816
231	0.2859051481
232	0.2855701191
233	0.2852640446
234	0.2850577085
235	0.2847284907
236	0.2843567249
237	0.283886385
238	0.2836313957
239	0.2832317391
240	0.2828979787
241	0.2826723565
242	0.2821768104
243	0.2818886893
244	0.2814718048
245	0.2812278145
246	0.2809119498
247	0.2806599691
248	0.280378554
249	0.279949484
250	0.2795507236
251	0.2793342285
252	0.2790693681
253	0.278857119
254	0.2786780766
255	0.2783069093
256	0.2780424357
257	0.2776291053
258	0.2771872507
259	0.2766730597
260	0.2763609632
261	0.2761833512
262	0.2758259351
263	0.2754993099
264	0.2753315646
265	0.2750554505
266	0.2747674578
267	0.2744495605
268	0.2741849599
269	0.2739871812
270	0.2735349082
271	0.2731369052
272	0.2729373791
273	0.2725492826
274	0.2720576951
275	0.2718934526
276	0.271361534
277	0.2711314227
278	0.2709248845
279	0.2707396536
280	0.2706104948
281	0.2704121792
282	0.2703778055
283	0.2702199465
284	0.2699894223
285	0.2697012066
286	0.2693693526
287	0.2688898326
288	0.268637966
289	0.268454697
290	0.2682084247
291	0.2679450647
292	0.2677956125
293	0.2675978436
294	0.2673101465
295	0.2670839092
296	0.2667595703
297	0.26663129
298	0.2664404684
299	0.2662486081
300	0.2659260309
301	0.2657346572
302	0.2655852878
303	0.2653487075
304	0.2649969738
305	0.2647975696
306	0.264607032
307	0.2643379252
308	0.2639674178
309	0.263882231
310	0.263645428
311	0.2633050747
312	0.2630954646
313	0.2628824412
314	0.2627089987
315	0.2624813575
316	0.2621755585
317	0.2620669622
318	0.2619625688
319	0.2616466258
320	0.2613263365
321	0.2610368697
322	0.2608268852
323	0.2606187131
324	0.2604168788
325	0.2602677268
326	0.2601469162
327	0.2599291216
328	0.2596783268
329	0.2595528383
330	0.259360662
331	0.2590532611
332	0.2589038486
333	0.2585586779
334	0.2583734397
335	0.2581878055
336	0.2579611281
337	0.2576659505
338	0.2573241521
339	0.2570182656
340	0.256689895
341	0.2564519348
342	0.2562257596
343	0.2561190178
344	0.2560281365
345	0.2557919874
346	0.2556049382
347	0.2554536501
348	0.2552028273
349	0.2549944209
350	0.2547322237
351	0.2545416126
352	0.2543855396
353	0.2542240507
354	0.2538453238
355	0.2537485379
356	0.2535805621
357	0.253394668
358	0.2529638501
359	0.2528141331
360	0.2526794742
361	0.2524584204
362	0.2522257541
363	0.2518499551
364	0.251707984
365	0.2514716212
366	0.2513295249
367	0.2511984616
368	0.2509556237
369	0.2508423367
370	0.250628588
371	0.2505569407
372	0.2502004831
373	0.2501695671
374	0.250047125
375	0.2498857349
376	0.2496894452
377	0.2496059418
378	0.2494496799
379	0.249122086
380	0.2489341332
381	0.2488369021
382	0.2484959551
383	0.2483161358
384	0.2478939396
385	0.2477994697
386	0.2474402827
387	0.2472985919
388	0.2470689397
389	0.246800343
390	0.2466243712
391	0.2463158673
392	0.2461369783
393	0.2458285372
394	0.245446053
395	0.2452316713
396	0.2450630913
397	0.2448790105
398	0.2447457952
399	0.2446220089
400	0.244349816
401	0.2440049322
402	0.2436297703
403	0.2434221683
404	0.2431277694
405	0.2428555574
406	0.242625874
407	0.2423869037
408	0.2421599609
409	0.2419855932
410	0.24169588
411	0.2416106658
412	0.2415307561
413	0.241397837
414	0.2412698221
415	0.2410982541
416	0.2409896208
417	0.2408644315
418	0.2406245281
419	0.2403978964
420	0.2401572664
421	0.2400463124
422	0.2397024188
423	0.2394204167
424	0.2393591769
425	0.2390462011
426	0.2387919989
427	0.2386499477
428	0.2385433493
429	0.2383346975
430	0.2382787025
431	0.2381309112
432	0.2379663424
433	0.2376386473
434	0.2374691245
435	0.2373521082
436	0.237096136
437	0.2370623293
438	0.236945621
439	0.2366707194
440	0.2363598969
441	0.2361294575
442	0.2359048049
443	0.2358574756
444	0.2356603153
445	0.2355056592
446	0.2353670366
447	0.2350955615
448	0.2350231287
449	0.2348842907
450	0.2348165185
451	0.2346789239
452	0.2345625523
453	0.2343311197
454	0.2342210674
455	0.2339475195
456	0.2338163963
457	0.2336189776
458	0.2333280611
459	0.2333150835
460	0.2330652836
461	0.2329822337
462	0.2328192457
