model,accuracy,precision,recall,f1,errors,tn,fp,fn,tp
catboost_best,0.8119891008174387,0.7637795275590551,0.9556650246305419,0.849015317286652,138,208,120,18,388
gradient_boosting_best,0.7588555858310627,0.7772397094430993,0.7906403940886699,0.7838827838827839,177,236,92,85,321
random_forest_best,0.837874659400545,0.8072805139186295,0.9285714285714286,0.86368843069874,119,238,90,29,377
ensemble_mean_proba,0.8065395095367848,0.7972972972972973,0.8719211822660099,0.8329411764705882,142,238,90,52,354
ensemble_majority_vote,0.8215258855585831,0.7870563674321504,0.9285714285714286,0.8519774011299435,131,226,102,29,377
