sample_index,timestamp_s
68,1764746312.965620995
155,1764746313.509598017
221,1764746313.921678066
334,1764746314.627839088
426,1764746315.202730894
518,1764746315.777488947
607,1764746316.333745956
697,1764746316.896063089
786,1764746317.453052998
874,1764746318.002159119
961,1764746318.545691967
1049,1764746319.095618010
1136,1764746319.639503002
1223,1764746320.182992935
1310,1764746320.726517916
1396,1764746321.263996840
1481,1764746321.795205116
1568,1764746322.338654041
1660,1764746322.913657904
1749,1764746323.469794989
1836,1764746324.013345957
1922,1764746324.550786972
2008,1764746325.097921133
2095,1764746325.631750822
2184,1764746326.187898159
2273,1764746326.744006872
2360,1764746327.287749052
2446,1764746327.825167179
2531,1764746328.356303215
2615,1764746328.881111145
2702,1764746329.424735069
2794,1764746329.999655962
2890,1764746330.599456072
2981,1764746331.168006897
3070,1764746331.724238157
3157,1764746332.267804861
3244,1764746332.811517954
3332,1764746333.361471891
3424,1764746333.936207771
3516,1764746334.511099815
3607,1764746335.079966068
3695,1764746335.630105019
3783,1764746336.179538965
3872,1764746336.735793829
3961,1764746337.291667938
4048,1764746337.835358858
4135,1764746338.378950119
4221,1764746338.916456938
4308,1764746339.459983826
4394,1764746339.997390985
4481,1764746340.541085958
4567,1764746341.100392103
4653,1764746341.615902901
4740,1764746342.159490108
