sample_index,timestamp_s
9,1764746282.597110987
102,1764746283.182948112
196,1764746283.765719891
288,1764746284.340467930
379,1764746284.909147978
469,1764746285.471474886
559,1764746286.033869028
649,1764746286.596637011
739,1764746287.158824921
830,1764746287.727294922
918,1764746288.277148962
1006,1764746288.827260971
1095,1764746289.404892921
1183,1764746289.933018923
1268,1764746290.464208841
1354,1764746291.001576900
1439,1764746291.532692909
1525,1764746292.070140839
1612,1764746292.613744020
1702,1764746293.176099062
1790,1764746293.726166010
1877,1764746294.269627810
1965,1764746294.819529057
2054,1764746295.375550985
2143,1764746295.931749105
2231,1764746296.481662989
2319,1764746297.031517982
2408,1764746297.587857008
2496,1764746298.137855053
2585,1764746298.728487015
2674,1764746299.249778986
2762,1764746299.799762011
2851,1764746300.355845213
2940,1764746300.912009001
3029,1764746301.468204021
3118,1764746302.024572849
3208,1764746302.586691141
3299,1764746303.155310154
3388,1764746303.711422920
3479,1764746304.280021906
3569,1764746304.842443943
3659,1764746305.404823065
3748,1764746305.960891962
3836,1764746306.516134977
3922,1764746307.048509836
4010,1764746307.598096848
4097,1764746308.141866922
4183,1764746308.679137945
4268,1764746309.210289955
4352,1764746309.736799955
4436,1764746310.259951115
4519,1764746310.778628111
4602,1764746311.297235966
4689,1764746311.840944052
4780,1764746312.409754038
