sample_index,timestamp_s
25,1764746342.700048923
111,1764746343.234202862
196,1764746343.765374899
281,1764746344.296689987
366,1764746344.827635050
451,1764746345.358736992
536,1764746345.889981985
620,1764746346.414772034
705,1764746346.945968866
788,1764746347.464590073
871,1764746347.983311892
953,1764746348.495545149
1036,1764746349.014219046
1119,1764746349.533114195
1200,1764746350.039512157
1281,1764746350.545155048
1363,1764746351.057492018
1445,1764746351.570085049
1529,1764746352.094851017
1611,1764746352.607146025
1693,1764746353.119733095
1775,1764746353.633288860
1861,1764746354.169339895
1948,1764746354.713169813
2032,1764746355.281189919
2116,1764746355.762883186
2199,1764746356.282068968
2283,1764746356.806363821
2369,1764746357.343653202
2454,1764746357.874770880
2538,1764746358.399717093
2622,1764746358.924709797
2705,1764746359.443316936
2790,1764746359.974411011
2876,1764746360.511845827
2959,1764746361.030508041
3041,1764746361.542824984
3124,1764746362.061672926
3208,1764746362.586298943
3291,1764746363.104969978
3375,1764746363.629878044
3457,1764746364.142205954
3539,1764746364.654683828
3621,1764746365.166967154
3708,1764746365.710689068
3797,1764746366.266761065
3885,1764746366.816632032
3971,1764746367.354115009
4057,1764746367.891413927
4141,1764746368.416367054
4224,1764746368.934950113
4308,1764746369.459893942
4391,1764746369.978571892
4474,1764746370.497378111
4557,1764746371.015833139
4643,1764746371.553359032
4731,1764746372.103130817
