timestamp,ecg_value
1764746512.54147,2.5
1764746512.54775,2.24
1764746512.553985,2.38
1764746512.560147,2.37
1764746512.56692,2.17
1764746512.572684,1.99
1764746512.5788832,1.99
1764746512.585296,1.96
1764746512.5914052,1.84
1764746512.597619,1.58
1764746512.603916,1.7
1764746512.610323,1.8
1764746512.616504,1.75
1764746512.6227462,1.83
1764746512.6291032,1.89
1764746512.635283,1.95
1764746512.6415622,2.1
1764746512.648008,2.01
1764746512.654076,1.96
1764746512.660445,2.44
1764746512.6664908,2.71
1764746512.672678,2.06
1764746512.6791492,1.19
1764746512.6854231,0.0
1764746512.691692,0.0
1764746512.697821,0.0
1764746512.7039628,0.11
1764746512.71018,0.39
1764746512.716648,0.32
1764746512.722659,0.22
1764746512.729123,1.71
1764746512.735302,2.98
1764746512.7414122,2.4
1764746512.747928,1.89
1764746512.753901,2.16
1764746512.765992,2.28
1764746512.773087,2.14
1764746512.789716,2.14
1764746512.806405,2.13
1764746512.8158998,2.21
1764746512.8396668,1.97
1764746512.846959,1.84
1764746512.847276,2.05
1764746512.847785,1.79
1764746512.84863,1.52
1764746512.848935,1.9
1764746512.850385,1.88
1764746512.8506,1.62
1764746512.850775,1.46
1764746512.851226,1.63
1764746512.8539252,1.71
1764746512.861383,1.53
1764746512.87603,1.47
1764746512.876645,1.59
1764746512.880081,1.36
1764746512.89051,1.53
1764746512.891922,1.87
1764746512.8978171,1.54
1764746512.90405,1.56
1764746512.910163,1.86
1764746512.916663,1.99
1764746512.922635,1.68
1764746512.928909,1.09
1764746512.93553,1.03
1764746512.941568,1.05
1764746512.947672,0.82
1764746512.953891,0.78
1764746512.960135,0.82
1764746512.96668,0.77
1764746512.9725351,1.03
1764746512.978863,1.45
1764746512.985137,1.91
1764746512.991323,2.29
1764746512.997757,2.72
1764746513.003787,3.15
1764746513.010114,3.12
1764746513.016497,2.86
1764746513.022534,2.76
1764746513.0287712,2.67
1764746513.035167,2.32
1764746513.041274,2.01
1764746513.0475469,1.94
1764746513.053813,2.03
1764746513.060089,1.94
1764746513.066357,1.73
1764746513.0727758,1.95
1764746513.0788128,1.74
1764746513.085191,1.27
1764746513.09132,1.16
1764746513.0978198,1.3
1764746513.103808,1.6
1764746513.110026,1.67
1764746513.11638,2.01
1764746513.12254,3.05
1764746513.128901,3.16
1764746513.1351192,3.16
1764746513.141322,2.77
1764746513.1477172,1.23
1764746513.153759,1.03
1764746513.1600971,1.33
1764746513.1663349,1.5
1764746513.172522,0.87
1764746513.178763,0.24
1764746513.185262,1.07
1764746513.1913128,1.8
1764746513.197636,1.56
1764746513.203785,1.68
1764746513.210005,2.23
1764746513.216546,2.29
1764746513.222582,2.15
1764746513.228885,2.13
1764746513.235043,2.3
1764746513.241372,2.22
1764746513.2475882,2.09
1764746513.253741,2.19
1764746513.260027,2.17
1764746513.266485,1.98
1764746513.272658,1.97
1764746513.27878,1.95
1764746513.285137,1.86
1764746513.291209,2.04
1764746513.297568,1.89
1764746513.303773,1.81
1764746513.310036,1.65
1764746513.3163588,1.6
