timestamp,ecg_value
1764751708.172363,1.78
1764751708.178758,1.53
1764751708.185059,1.75
1764751708.191024,1.73
1764751708.1973388,1.74
1764751708.203468,1.93
1764751708.209858,1.62
1764751708.216954,1.72
1764751708.2281868,1.75
1764751708.228985,1.46
1764751708.252238,1.62
1764751708.256222,1.53
1764751708.256494,1.47
1764751708.256708,1.58
1764751708.285565,1.33
1764751708.303218,1.47
1764751708.303942,1.51
1764751708.3043,1.28
1764751708.304929,1.52
1764751708.30579,1.38
1764751708.30614,1.26
1764751708.306466,1.5
1764751708.309865,1.47
1764751708.316182,2.27
1764751708.3223622,3.01
1764751708.328883,2.68
1764751708.335083,2.07
1764751708.341095,1.1
1764751708.347678,1.04
1764751708.353622,1.55
1764751708.359853,1.41
1764751708.366477,1.46
1764751708.372768,1.45
1764751708.378581,1.22
1764751708.385055,1.41
1764751708.391,1.41
1764751708.397684,1.45
1764751708.403764,1.63
1764751708.410243,1.38
1764751708.417644,1.56
1764751708.422302,1.63
1764751708.428556,1.42
1764751708.434918,1.67
1764751708.441653,1.57
1764751708.447265,1.54
1764751708.453768,1.75
1764751708.459828,1.67
1764751708.466356,1.88
1764751708.472967,1.98
1764751708.478622,1.73
1764751708.484753,1.81
1764751708.491091,1.67
1764751708.497304,1.58
1764751708.50355,1.74
1764751708.509873,1.47
1764751708.516088,1.54
1764751708.5222552,1.6
1764751708.5285969,1.32
1764751708.534761,1.46
1764751708.5410109,1.44
1764751708.547228,1.45
1764751708.553746,1.64
1764751708.559747,1.44
1764751708.566157,1.61
1764751708.572354,1.65
1764751708.5786922,1.41
1764751708.584928,1.67
1764751708.591029,1.55
1764751708.597664,1.46
1764751708.603614,1.6
1764751708.609877,1.48
1764751708.615979,1.64
1764751708.622356,1.77
1764751708.628614,1.58
1764751708.6346729,1.77
1764751708.640984,1.66
1764751708.647724,1.83
1764751708.653526,2.15
1764751708.660157,1.78
1764751708.666241,1.9
1764751708.672249,2.03
1764751708.6786518,1.71
1764751708.684743,1.8
1764751708.691076,1.64
1764751708.697251,1.46
1764751708.703438,1.59
1764751708.710577,1.35
1764751708.716002,1.45
1764751708.722272,1.45
1764751708.729773,1.25
1764751708.7347531,1.51
1764751708.740944,1.41
1764751708.747252,1.35
1764751708.753462,1.59
1764751708.7597609,1.35
1764751708.765832,1.54
1764751708.7723598,2.17
1764751708.7787242,2.72
1764751708.784739,3.09
1764751708.790928,2.61
1764751708.797192,1.36
1764751708.8034089,1.06
1764751708.809886,1.17
1764751708.8159318,1.43
1764751708.8221598,1.44
1764751708.82892,1.14
1764751708.834692,1.41
1764751708.840838,1.39
1764751708.847163,1.26
1764751708.853386,1.44
1764751708.85972,1.34
1764751708.865914,1.43
1764751708.872232,1.46
1764751708.8784451,1.35
1764751708.8845608,1.67
1764751708.890832,1.55
1764751708.897123,1.41
1764751708.903305,1.64
1764751708.909707,1.54
1764751708.915879,1.63
1764751708.922131,1.64
1764751708.9284291,1.48
1764751708.934602,1.75
1764751708.940952,1.69
1764751708.94721,1.64
1764751708.953383,1.88
1764751708.959616,1.64
1764751708.965806,1.69
1764751708.9721432,1.75
1764751708.978448,1.52
1764751708.984621,1.76
1764751708.990913,1.65
1764751708.997149,1.5
1764751709.003386,1.72
1764751709.0096178,1.57
1764751709.0157928,1.65
1764751709.022031,1.72
1764751709.028429,1.55
1764751709.034621,1.77
1764751709.040826,1.63
1764751709.047138,1.47
1764751709.053319,1.67
1764751709.059615,1.45
1764751709.065774,1.57
1764751709.072118,1.68
1764751709.0786402,1.36
1764751709.0846138,1.54
1764751709.090868,1.55
1764751709.097146,1.53
1764751709.103294,1.66
1764751709.1095722,1.55
1764751709.115781,1.84
1764751709.122048,1.91
1764751709.129591,1.67
1764751709.1346529,1.75
1764751709.140782,1.62
1764751709.1472142,1.54
1764751709.1534002,1.64
1764751709.159629,1.4
1764751709.165901,1.55
1764751709.172053,1.61
1764751709.178934,1.3
1764751709.1846058,1.5
1764751709.1909142,1.63
1764751709.197108,1.76
1764751709.203354,1.74
1764751709.209582,1.34
1764751709.2157598,1.85
1764751709.221992,1.93
1764751709.228526,0.94
1764751709.234661,1.62
1764751709.240806,2.73
1764751709.247026,3.04
1764751709.253331,2.93
1764751709.259674,1.59
1764751709.2657962,0.86
1764751709.272181,1.4
1764751709.27859,1.5
1764751709.284565,1.54
1764751709.290775,1.42
1764751709.296984,1.46
1764751709.303226,1.69
1764751709.309546,1.42
1764751709.3157492,1.46
1764751709.321975,1.57
1764751709.328286,1.39
1764751709.334648,1.54
1764751709.34079,1.42
1764751709.347015,1.36
1764751709.3532338,1.54
1764751709.359491,1.32
1764751709.365814,1.44
1764751709.372025,1.54
1764751709.378288,1.3
1764751709.384523,1.51
1764751709.390823,1.51
1764751709.396957,1.47
1764751709.403202,1.7
1764751709.409649,1.51
1764751709.415732,1.61
1764751709.422052,1.71
1764751709.428315,1.59
1764751709.4345658,1.73
1764751709.440672,1.64
1764751709.447207,1.72
1764751709.45327,1.9
1764751709.459522,1.47
1764751709.465722,1.45
1764751709.471971,1.65
1764751709.478431,1.41
1764751709.4845738,1.62
1764751709.4908018,1.61
1764751709.4970508,1.58
1764751709.503212,1.74
1764751709.509689,1.5
1764751709.51582,1.67
1764751709.5219798,1.8
1764751709.528613,1.62
1764751709.534605,1.78
1764751709.540853,1.64
1764751709.5469718,1.66
1764751709.553231,2.01
1764751709.559524,1.85
1764751709.565668,1.82
1764751709.571985,1.9
1764751709.578309,1.63
1764751709.584495,1.9
1764751709.590706,1.9
1764751709.597074,1.74
1764751709.603198,1.86
1764751709.609523,1.67
1764751709.615829,1.67
1764751709.6220338,1.61
1764751709.628237,1.33
1764751709.63456,1.57
1764751709.640843,1.58
1764751709.647091,1.39
1764751709.653305,1.41
1764751709.659675,1.31
1764751709.665685,1.46
1764751709.672064,1.52
1764751709.6782851,1.3
1764751709.684621,1.53
1764751709.690719,1.48
1764751709.696978,1.38
1764751709.703176,1.86
1764751709.710144,2.45
1764751709.7157052,3.08
1764751709.721969,3.09
1764751709.728428,2.03
1764751709.7346718,1.14
1764751709.740744,1.38
1764751709.7470562,1.85
1764751709.753993,2.0
1764751709.7595782,1.22
1764751709.765874,1.22
1764751709.7722628,1.66
1764751709.7796102,1.51
1764751709.784547,1.56
1764751709.790987,1.47
1764751709.797138,1.46
1764751709.8032918,1.76
1764751709.811118,1.52
1764751709.816329,1.66
