timestamp,ecg_value
1764751738.169846,0.86
1764751738.176096,0.9
1764751738.182184,0.87
1764751738.188617,0.87
1764751738.194939,0.89
1764751738.201026,0.85
1764751738.2073338,0.89
1764751738.213613,0.88
1764751738.219802,0.87
1764751738.2262452,0.9
1764751738.232343,0.87
1764751738.2387772,0.87
1764751738.244769,0.89
1764751738.251171,0.86
1764751738.257328,0.89
1764751738.263554,0.88
1764751738.269789,0.86
1764751738.276103,0.9
1764751738.2824352,0.87
1764751738.288623,0.87
1764751738.2948532,0.89
1764751738.300961,0.86
1764751738.307989,0.89
1764751738.313597,0.89
1764751738.319814,0.87
1764751738.3260522,0.93
1764751738.3322911,0.89
1764751738.338777,0.89
1764751738.344757,0.91
1764751738.35105,0.87
1764751738.3572989,0.9
1764751738.3636422,0.9
1764751738.369889,0.88
1764751738.3762171,0.91
1764751738.3822248,0.88
1764751738.388631,0.89
1764751738.394754,0.91
1764751738.40117,0.87
1764751738.407509,0.9
1764751738.4136078,0.9
1764751738.419803,0.88
1764751738.4261062,0.91
1764751738.43224,0.88
1764751738.438619,0.89
1764751738.444899,0.91
1764751738.450984,0.88
1764751738.457502,0.9
1764751738.463495,0.9
1764751738.4697971,0.88
1764751738.476129,0.91
1764751738.4822989,0.88
1764751738.488484,0.89
1764751738.494814,0.91
1764751738.5010052,0.87
1764751738.507424,0.9
1764751738.513557,0.89
1764751738.519723,0.87
1764751738.5259478,0.91
1764751738.532214,0.88
1764751738.5385852,0.88
1764751738.544724,0.9
1764751738.550914,0.87
1764751738.557304,0.9
1764751738.563508,0.89
1764751738.5698628,0.87
1764751738.57597,0.92
1764751738.582191,0.89
1764751738.588643,0.9
1764751738.594711,0.92
1764751738.6009312,0.89
1764751738.607286,0.93
1764751738.6135428,0.91
1764751738.6197162,0.91
1764751738.625965,0.93
1764751738.632183,0.9
1764751738.6384609,0.9
1764751738.644765,0.92
1764751738.650979,0.89
1764751738.6575592,0.91
1764751738.663444,0.91
1764751738.669645,0.89
1764751738.675999,0.93
1764751738.682118,0.9
1764751738.6884742,0.93
1764751738.694651,0.92
1764751738.70095,0.89
1764751738.707241,0.92
1764751738.713459,0.91
1764751738.719816,0.89
1764751738.726102,0.93
1764751738.732115,0.9
1764751738.738487,0.91
1764751738.7446988,0.93
1764751738.750963,0.89
1764751738.75733,0.91
1764751738.763443,0.91
1764751738.769724,0.9
1764751738.7759628,0.93
1764751738.782184,0.9
1764751738.788447,0.91
1764751738.7946692,0.92
1764751738.8009338,0.88
1764751738.807359,0.92
1764751738.81344,0.91
1764751738.8197162,0.92
1764751738.8258991,1.0
1764751738.832138,0.96
1764751738.838488,0.97
1764751738.844646,1.0
1764751738.85087,0.97
1764751738.85726,1.0
1764751738.86352,0.99
1764751738.869781,0.97
1764751738.875946,1.03
1764751738.8821929,1.0
1764751738.888427,1.0
1764751738.894638,1.02
1764751738.900974,0.98
1764751738.907275,0.93
1764751738.913392,0.9
1764751738.9196968,0.88
1764751738.925987,0.91
1764751738.932076,0.88
1764751738.938421,0.91
1764751738.9446511,0.91
1764751738.95087,0.89
1764751738.957435,0.93
1764751738.963447,0.91
1764751738.9696808,0.91
1764751738.975932,0.94
1764751738.982114,0.93
1764751738.988429,0.96
1764751738.994622,0.99
1764751739.000921,0.96
1764751739.007254,1.0
1764751739.01339,1.0
1764751739.019682,0.98
1764751739.025873,1.03
1764751739.032245,0.99
1764751739.038351,1.0
1764751739.044626,1.03
1764751739.050826,0.98
1764751739.058153,1.0
1764751739.0635982,1.02
1764751739.069695,1.0
1764751739.075967,1.03
1764751739.082083,1.0
1764751739.091626,1.02
1764751739.135764,1.04
1764751739.148756,1.0
1764751739.162267,1.03
1764751739.179302,1.03
1764751739.190721,1.0
1764751739.192957,1.03
1764751739.21546,1.01
1764751739.21679,1.01
1764751739.218341,1.03
1764751739.233456,0.88
1764751739.236625,0.89
1764751739.2393432,0.89
1764751739.240799,0.87
1764751739.241479,0.92
1764751739.242108,0.94
1764751739.242784,0.97
1764751739.245599,1.01
1764751739.247679,0.97
1764751739.248239,1.02
1764751739.249108,1.02
1764751739.251335,0.92
1764751739.252129,0.97
1764751739.252681,1.0
1764751739.253453,1.02
1764751739.253934,1.05
1764751739.255521,1.0
1764751739.257859,1.03
1764751739.263529,0.93
1764751739.270263,0.89
1764751739.275929,0.92
1764751739.282229,0.9
1764751739.28845,0.91
1764751739.295001,0.92
1764751739.3011682,0.89
1764751739.307519,0.92
1764751739.313493,0.91
1764751739.319766,0.89
1764751739.3262248,0.96
1764751739.332264,0.93
1764751739.338377,0.96
1764751739.344605,0.99
1764751739.3511848,0.9
1764751739.357278,0.92
1764751739.363477,0.92
1764751739.3698509,0.91
1764751739.375867,1.0
1764751739.3820171,0.98
1764751739.388323,0.99
1764751739.394652,1.02
1764751739.401433,0.97
1764751739.407448,1.02
1764751739.413364,1.02
1764751739.419714,1.0
1764751739.426063,1.04
1764751739.432212,1.01
1764751739.438346,1.02
1764751739.444615,1.04
1764751739.451072,1.0
1764751739.45742,1.04
1764751739.463522,1.03
1764751739.469583,1.01
1764751739.475878,1.05
1764751739.482234,1.02
1764751739.48835,1.02
1764751739.4945338,1.05
1764751739.500814,1.0
1764751739.507434,1.03
1764751739.5132742,1.02
1764751739.5195389,0.99
1764751739.526104,1.02
1764751739.532144,0.97
1764751739.538361,0.97
1764751739.544572,0.99
1764751739.550909,0.94
1764751739.5571609,0.86
1764751739.563464,0.86
1764751739.569886,0.85
1764751739.576035,0.89
1764751739.582109,0.88
1764751739.588342,0.92
1764751739.594571,0.98
1764751739.6009228,0.95
1764751739.607143,0.98
1764751739.613385,0.97
1764751739.619592,0.98
1764751739.625807,1.03
1764751739.631995,1.01
1764751739.63823,1.01
1764751739.644563,1.04
1764751739.650862,1.0
1764751739.6572642,1.03
1764751739.663319,1.03
1764751739.6694798,1.0
1764751739.67584,1.05
1764751739.682007,1.02
