timestamp,ecg_value
1764746522.539235,1.84
1764746522.545525,1.06
1764746522.551724,1.24
1764746522.558096,1.54
1764746522.5642722,1.0
1764746522.570608,0.87
1764746522.5773592,1.17
1764746522.582942,1.15
1764746522.589229,0.98
1764746522.595559,0.83
1764746522.601707,0.98
1764746522.607965,1.42
1764746522.6141682,1.75
1764746522.620578,2.07
1764746522.6267478,2.27
1764746522.633099,2.39
1764746522.639207,2.43
1764746522.645473,2.35
1764746522.651692,2.21
1764746522.657983,2.26
1764746522.664232,2.3
1764746522.67046,2.21
1764746522.676897,2.23
1764746522.683014,2.22
1764746522.689183,2.11
1764746522.695549,1.95
1764746522.701727,1.67
1764746522.7079449,1.7
1764746522.714232,1.7
1764746522.720816,1.4
1764746522.726884,1.26
1764746522.7330492,1.16
1764746522.7392168,1.44
1764746522.745784,1.72
1764746522.751673,1.72
1764746522.758143,1.88
1764746522.764195,2.23
1764746522.7705832,2.37
1764746522.7767448,2.31
1764746522.782989,2.2
1764746522.7891572,1.94
1764746522.795418,1.86
1764746522.801808,1.78
1764746522.808206,1.53
1764746522.814251,1.47
1764746522.820458,1.58
1764746522.82679,1.67
1764746522.8329248,1.47
1764746522.839212,1.36
1764746522.845483,1.57
1764746522.851636,1.82
1764746522.857932,2.04
1764746522.864171,2.05
1764746522.8704152,2.09
1764746522.876713,1.9
1764746522.88306,1.5
1764746522.889157,1.44
1764746522.895447,1.47
1764746522.901679,1.27
1764746522.90791,1.14
1764746522.914143,1.13
1764746522.920456,1.09
1764746522.926752,1.02
1764746522.9329689,0.96
1764746522.939243,0.98
1764746522.945476,0.92
1764746522.9516008,0.81
1764746522.957849,0.84
1764746522.964177,0.92
1764746522.970434,1.53
1764746522.976998,2.24
1764746522.982972,2.16
1764746522.989412,1.55
1764746522.9955578,0.45
1764746523.00175,0.28
1764746523.007905,0.91
1764746523.0141451,1.11
1764746523.0203688,1.02
1764746523.026786,1.02
1764746523.032884,1.16
1764746523.0391612,1.38
1764746523.045352,1.36
1764746523.051635,1.24
1764746523.057996,1.21
1764746523.064105,1.26
1764746523.070359,1.48
1764746523.076811,1.62
1764746523.0829928,1.4
1764746523.0891578,1.33
1764746523.095553,1.34
1764746523.1016068,1.55
1764746523.107924,1.69
1764746523.114141,1.17
1764746523.1203892,1.14
1764746523.126871,1.16
1764746523.132861,0.91
1764746523.139062,1.03
1764746523.145484,1.19
1764746523.15159,0.92
1764746523.15793,0.9
1764746523.1641212,0.97
1764746523.170371,0.73
1764746523.176672,0.63
1764746523.1832662,0.98
1764746523.189295,1.27
1764746523.19551,1.35
1764746523.201652,1.44
1764746523.2080362,1.78
1764746523.214354,2.02
1764746523.220381,2.03
1764746523.2278929,2.08
1764746523.232976,1.81
1764746523.23914,1.25
1764746523.2453718,0.86
1764746523.251696,1.16
1764746523.257938,1.67
1764746523.264153,1.63
1764746523.2702742,1.41
1764746523.276671,1.65
1764746523.282874,1.77
1764746523.289151,1.66
1764746523.295407,1.88
1764746523.30161,2.28
1764746523.3078349,2.43
1764746523.314046,2.39
1764746523.3204238,2.3
1764746523.3266392,2.19
1764746523.332864,1.76
1764746523.3391092,1.5
1764746523.345328,1.57
1764746523.351637,1.42
1764746523.35791,1.13
1764746523.3641012,0.69
1764746523.370334,0.79
1764746523.3768718,1.09
1764746523.382832,1.0
1764746523.389045,1.13
1764746523.395427,1.32
1764746523.401637,1.49
1764746523.40786,1.68
1764746523.414216,1.58
1764746523.420314,1.66
1764746523.42672,1.7
1764746523.432765,1.56
1764746523.4390662,1.93
1764746523.445542,2.55
1764746523.451711,2.4
1764746523.45782,2.05
1764746523.4642172,0.94
1764746523.470366,0.28
1764746523.476648,0.57
1764746523.482769,0.74
1764746523.489037,0.66
1764746523.495297,0.65
1764746523.501569,0.6
1764746523.507852,0.6
1764746523.514103,0.63
1764746523.520296,0.64
1764746523.526582,0.64
1764746523.532755,0.68
1764746523.539049,0.78
1764746523.5453062,0.98
1764746523.551575,1.05
1764746523.557792,1.29
1764746523.5639648,1.32
1764746523.570261,1.29
1764746523.576559,1.5
1764746523.582755,1.57
1764746523.58907,1.69
1764746523.595239,1.86
1764746523.601536,1.91
1764746523.607789,2.01
1764746523.614099,2.19
1764746523.62028,2.38
1764746523.626608,1.98
1764746523.63274,1.42
1764746523.639159,1.5
1764746523.645358,1.71
1764746523.651521,1.24
1764746523.657863,1.18
1764746523.664084,1.33
1764746523.670364,1.15
1764746523.676995,0.49
1764746523.682784,0.34
1764746523.6891,1.09
1764746523.695214,1.49
1764746523.701591,1.36
1764746523.7077792,1.41
1764746523.714051,1.53
1764746523.720233,1.64
1764746523.7269351,1.82
1764746523.732793,1.87
1764746523.7389572,1.98
1764746523.7452369,2.07
1764746523.7515311,1.97
1764746523.757775,1.96
1764746523.7640488,1.98
1764746523.7702668,1.81
1764746523.776659,1.62
1764746523.78272,1.69
1764746523.78911,1.7
1764746523.795291,1.54
1764746523.801549,1.34
1764746523.8078022,1.48
1764746523.8141062,1.61
1764746523.820247,1.9
1764746523.8266082,2.38
1764746523.832709,2.28
1764746523.839026,2.06
1764746523.8451788,1.98
1764746523.8514729,1.93
1764746523.8577302,1.72
1764746523.8639228,1.56
1764746523.870204,1.43
1764746523.876512,1.2
1764746523.882752,0.96
1764746523.888973,0.9
1764746523.895226,1.04
1764746523.9015849,1.58
1764746523.931733,2.71
1764746523.933588,3.16
1764746523.954378,3.15
1764746523.9816709,2.65
1764746523.987029,1.78
1764746523.98717,1.78
1764746523.987266,1.86
1764746523.987359,1.41
1764746523.9874508,1.16
1764746523.9875462,1.24
1764746523.9876428,1.16
1764746523.987968,1.08
1764746523.988384,0.94
1764746523.988998,0.96
1764746523.995328,0.97
1764746524.00267,0.83
1764746524.0133052,0.85
1764746524.0143292,0.79
1764746524.0208158,0.72
1764746524.02794,0.89
1764746524.0327191,0.84
1764746524.038959,0.91
1764746524.0452769,1.13
1764746524.0515058,1.29
1764746524.05775,1.51
1764746524.0640588,1.4
1764746524.0701702,1.42
1764746524.076515,1.72
1764746524.08272,1.72
1764746524.088962,1.62
1764746524.0952,1.9
1764746524.10155,2.03
1764746524.10769,2.01
1764746524.1138592,1.98
1764746524.1202922,2.26
1764746524.127817,2.27
1764746524.13266,2.02
1764746524.1389,2.01
1764746524.145212,2.17
1764746524.151435,2.21
1764746524.157621,2.27
1764746524.163908,2.1
1764746524.170187,2.06
1764746524.176975,2.05
1764746524.18265,1.76
1764746524.188879,1.37
1764746524.195315,1.13
1764746524.201399,0.93
1764746524.2077088,0.78
1764746524.213972,0.7
1764746524.220233,0.72
1764746524.227087,1.02
1764746524.2327108,1.28
1764746524.239001,1.59
1764746524.245186,2.15
1764746524.251445,2.45
1764746524.25773,2.55
1764746524.263912,2.64
1764746524.27013,2.41
1764746524.276779,1.95
1764746524.282725,1.56
1764746524.288919,1.18
1764746524.2951522,1.59
1764746524.301458,1.42
1764746524.3077,0.61
1764746524.313889,0.83
1764746524.320242,1.43
1764746524.326405,1.7
1764746524.332814,1.78
1764746524.3389251,1.94
1764746524.345116,2.12
1764746524.3514292,2.11
1764746524.3577302,2.35
1764746524.363906,3.13
1764746524.370324,3.16
1764746524.376644,3.17
1764746524.382536,3.17
1764746524.388832,3.16
1764746524.395188,2.37
1764746524.401427,1.23
1764746524.4075918,1.74
1764746524.41387,2.1
1764746524.42006,1.66
1764746524.426451,1.44
1764746524.432626,1.5
1764746524.438874,1.71
1764746524.445163,1.64
1764746524.4513102,1.52
1764746524.457555,1.65
1764746524.4637702,1.83
1764746524.470178,2.08
1764746524.47649,2.16
1764746524.4826298,2.1
1764746524.488845,2.32
1764746524.4950268,2.38
1764746524.501332,2.03
1764746524.507693,1.96
1764746524.513741,1.97
1764746524.520213,1.74
1764746524.52646,1.66
1764746524.532641,1.62
1764746524.538949,1.59
1764746524.5450492,1.52
1764746524.55134,1.49
1764746524.557649,1.41
1764746524.563798,1.29
1764746524.5700831,1.37
1764746524.576402,1.46
1764746524.582603,1.36
1764746524.588883,1.42
1764746524.594998,1.46
1764746524.601296,1.32
1764746524.607556,1.41
1764746524.613722,1.57
1764746524.6200352,1.69
1764746524.626408,1.84
1764746524.6325288,1.94
1764746524.6388218,2.1
1764746524.645213,2.12
1764746524.651286,2.08
1764746524.657526,2.27
1764746524.663713,2.32
1764746524.670103,2.23
1764746524.676504,2.24
1764746524.6825411,2.16
1764746524.688826,2.42
1764746524.695124,2.66
1764746524.7013178,3.0
1764746524.7075782,3.04
1764746524.713721,2.66
1764746524.720073,2.32
1764746524.726603,2.13
1764746524.732533,1.95
1764746524.7388391,1.72
1764746524.745018,1.35
1764746524.751212,1.11
1764746524.757549,1.07
1764746524.763849,1.03
1764746524.770077,1.09
