sample_index,timestamp_s
70,1764746522.976998091
145,1764746523.445542097
221,1764746523.954377890
275,1764746524.257730007
366,1764746524.826275110
440,1764746525.288743019
514,1764746525.751054049
587,1764746526.207277060
661,1764746526.669658899
734,1764746527.134548903
807,1764746527.581828117
881,1764746528.044481993
956,1764746528.512965918
1031,1764746528.981968880
1108,1764746529.462981939
1184,1764746529.939192057
1260,1764746530.412824154
1338,1764746530.899929047
1416,1764746531.387742043
1494,1764746531.874722004
1573,1764746532.368490934
1651,1764746532.855674028
1729,1764746533.343250990
1807,1764746533.830466986
1887,1764746534.330511093
1967,1764746534.830578089
2128,1764746535.836349010
2208,1764746536.336256027
2289,1764746536.842421055
2369,1764746537.342261076
2448,1764746537.835958004
2527,1764746538.329576015
2605,1764746538.877645016
2685,1764746539.317054987
2765,1764746539.816742897
2845,1764746540.316744089
2925,1764746540.816517115
3004,1764746541.310182810
3083,1764746541.803929090
3165,1764746542.342310905
3247,1764746542.828629017
3328,1764746543.334749937
3486,1764746544.322133064
3644,1764746545.309554100
3724,1764746545.809175014
3802,1764746546.296717167
3879,1764746546.777830839
3957,1764746547.265138865
4038,1764746547.771512985
4118,1764746548.271515846
4199,1764746548.805700064
4278,1764746549.271038055
4357,1764746549.764572859
4437,1764746550.272385120
4594,1764746551.245509148
4674,1764746551.750879049
