sample_index,timestamp_s
31,1764746552.732678890
111,1764746553.232702017
192,1764746553.738933086
271,1764746554.232304096
351,1764746554.732212067
429,1764746555.219681978
508,1764746555.713255882
666,1764746556.700629950
822,1764746557.675471067
900,1764746558.162754059
979,1764746558.656578064
1058,1764746559.150083065
1137,1764746559.643727064
1215,1764746560.131151199
1293,1764746560.618515015
1370,1764746561.099647045
1449,1764746561.593306780
1527,1764746562.080776930
1682,1764746563.049519062
1761,1764746563.542749882
1840,1764746564.036555052
1918,1764746564.523794889
1997,1764746565.017584085
2076,1764746565.511376858
2155,1764746566.004806995
2234,1764746566.498558998
2313,1764746566.992033958
2391,1764746567.479671955
2471,1764746567.979485035
2628,1764746568.960624218
2788,1764746569.960199833
2868,1764746570.460229158
2946,1764746570.947426081
3024,1764746571.434900045
3103,1764746571.928550959
3259,1764746572.903331995
3338,1764746573.397143126
3416,1764746573.884376049
3493,1764746574.365530014
3571,1764746574.852932215
3648,1764746575.334017038
3725,1764746575.815173149
3802,1764746576.296835899
3881,1764746576.802480221
3959,1764746577.277358055
4038,1764746577.771918058
